season,episode,title,location,has_coords,found,match_method,match_score,video_title,video_url
9,7,Iron-Age Market,"Helford, Cornwall",True,True,season/episode,1.0,"Iron-Age Market (Full Episode) | S9 EP7 | Time Team (Helford, Cornwall)",https://www.youtube.com/watch?v=GoH0q0EBDQQ
9,8,Siege House in Shropshire,"High Ercall, Shropshire",True,False,,0.459,,
9,9,A Prehistoric Airfield,"Throckmorton, Worcestershire",True,False,,0.483,,
9,10,A Lost Roman City,"Castleford, Yorkshire",True,False,,0.491,,
9,11,Every Castle Needs a Lord,"Beaudesert, Warwickshire",True,False,,0.509,,
9,12,Steptoe Et Filius,"Yaverland, Isle of Wight",True,False,,0.435,,
9,13,Seven Buckets and a Buckle,"Breamore, Hampshire",True,True,season/episode,1.0,"Seven Buckets and a Buckle (Full Episode) | S9 EP13 | Time Team (Breamore, Hampshire)",https://www.youtube.com/watch?v=Qi1ijJGJ9L8
10,1,Garden Secrets,"Raunds, Northamptonshire",True,False,,0.4,,
10,2,"Mosaics, Mosaics, Mosaics","Dinnington, Somerset",True,False,,0.417,,
10,3,Peak District Practices,"Carsington, Derbyshire",True,True,season/episode,1.0,"Peak District Practices (Full Episode) | S10 EP3 | Time Team (Carsington, Derbyshire)",https://www.youtube.com/watch?v=-ATi5An380E
10,4,The Giant's Grave,"Fetlar, Shetland",True,False,,0.455,,
10,5,Joust Dig It,"Greenwich, London",True,True,season/episode,1.0,"Joust Dig It (Full Episode) | S10 EP5 | Time Team (Greenwich, London)",https://www.youtube.com/watch?v=ewy921VSzD8
10,6,Digging Liberty,"Merton, London",True,False,,0.458,,
10,7,Death in a Crescent,"Bath, Somerset",True,False,,0.441,,
10,8,Back to Our Roots[n 1],"Athelney, Somerset",True,False,,0.414,,
10,9,Looking for the White House,"Kew Gardens, London",True,True,season/episode,1.0,Looking for the White House (Full Episode) | S10 EP9 | Time Team (Kew Gardens),https://www.youtube.com/watch?v=ayykqgn0nMU
10,10,Rescuing the Dead,"Leven, Fife",True,True,season/episode,1.0,"Rescuing the Dead (Full Episode) | S10 EP10 | Time Team (Leven, Fife)",https://www.youtube.com/watch?v=CbbPTfUE6rY
10,11,Not a Blot on the Landscape,"Castle Howard, North Yorkshire",True,False,,0.561,,
10,12,A View to a Kiln,"Sedgefield, County Durham",True,True,season/episode,1.0,"A View to a Kiln (Full Episode) | S10 EP12 | Full Episode | Time Team (Sedgefield, County Durham)",https://www.youtube.com/watch?v=g6mnleThc_M
10,13,Jailhouse Rocks,"Appleby-in-Westmorland, Cumbria",True,False,,0.409,,
11,1,In Search of the Brigittine Abbey,"Syon House, London",True,False,,0.564,,
11,2,A Roman Bath House and Edwardian Folly,"Whitestaunton Manor, Somerset",True,False,,0.475,,
11,3,The Crannog in the Loch,"Loch Migdale, Scottish Highlands",True,False,,0.526,,
11,4,Saxon Burials on the Ridge,"South Carlton, Lincolnshire",True,False,,0.58,,
11,5,The Roman Fort That Wasn't There,"Syndale, Kent",True,True,title,1.0,The Roman Fort That Wasn't There | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=lFc7SpPINDU
11,6,An Iron-Age Trading Centre,"Green Island, Dorset",True,True,title,1.0,"An Iron-Age Trading Centre, Green Island | FULL EPISODE | Time Team",https://www.youtube.com/watch?v=vE_SFeRftCc
11,7,A Medieval Blast Furnace,"The Old Furnace, Oakamoor, Staffordshire",True,True,title,1.0,A Medieval Blast Furnace | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=4dI8r4JPM-s
11,8,Rescuing a Mesolithic Foreshore,"Goldcliff, Newport",True,False,,0.438,,
11,9,"Fertile Soils, Rich Archaeology","Wittenham Clumps, Oxfordshire",True,False,,0.447,,
11,10,King Cnut's Manor,"Nassington, Northamptonshire",True,True,title,1.0,King Cnut's Manor | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=0fYODmj8B3w
11,11,Back-Garden Archaeology Revisiting a Roman villa,"Ipswich, Suffolk",True,False,,0.508,,
11,12,The Lost City of Roxburgh,"Roxburgh, Scottish Borders",True,True,title,1.0,"The Lost City of Roxburgh, Scottish Borders | FULL EPISODE | Time Team",https://www.youtube.com/watch?v=6bG2UUgWoRI
11,13,Brimming with Remains,"Cranborne Chase, Dorset",True,False,,0.484,,
12,1,The Manor That's Back to Front,"Chenies Manor House, Buckinghamshire",True,True,season/episode,1.0,"The Manor That’s Back to Front (Full Episode) | S12 EP1 | Time Team (Chenies Manor, Buckinghamshire)",https://www.youtube.com/watch?v=CJbF9Kc9_ik
12,2,The Monastery and the Mansion,"Nether Poppleton, North Yorkshire",True,True,season/episode,1.0,The Monastery and the Mansion (Full Episode) | S12 EP2 | Time Team (Nether Poppleton),https://www.youtube.com/watch?v=TMJ8sCjC5ag
