season,episode,title,video_title,location,lat,lng,video_url,match_method,match_score
12,8,Picts and Hermits: Cave Dwellers of Fife,"Picts And Hermits (Full Episode) | S12 EP8 | Time Team (Wemyss, Fife)","Wemyss, Fife",56.162351,-3.057839,https://www.youtube.com/watch?v=1SH8gmE9JDM,season/episode,0.566
12,9,Lost Centuries of St Osyth,"Lost Centuries of St Osyth (Full Episode) | S12 EP9 | Time Team (St Osyth, Essex)","St Osyth, Essex",51.798826,1.06306,https://www.youtube.com/watch?v=wCOFSRhFcAM,season/episode,1.0
12,10,The Puzzle of Picket's Farm,"The Puzzle of Picket's Farm (Full Episode) | S12 EP10 | Time Team (South Perrott, Dorset)","South Perrott, Dorset",50.844866,-2.752691,https://www.youtube.com/watch?v=H69XbqOl-lA,season/episode,1.0
12,11,Norman Neighbours,"Norman Neighbours (Full Episode) | S12 EP11 | Time Team (Skipsea, Yorkshire)","Skipsea, East Riding of Yorkshire",53.967614,-0.213551,https://www.youtube.com/watch?v=hxrMW0l8Hxw,season/episode,1.0
12,12,Hunting the Romans in South Shields - Tower Blocks and Togas,Tower Blocks and Togas (Full Episode) | S12 EP12 | Time Team (South Shields),"South Shields, Tyne and Wear",55.000462,-1.432911,https://www.youtube.com/watch?v=Gy9AqzZQR68,season/episode,0.349
12,13,Animal Farm,"Animal Farm (Full Episode) | S12 EP13 | Time Team (Hanslope, Buckinghamshire)","Hanslope, Buckinghamshire",52.126082,-0.873735,https://www.youtube.com/watch?v=fMu3TjJ9Wzg,season/episode,1.0
13,1,The Bodies in the Shed - Glendon's Lost Graveyard,Bodies In The Shed (Full Episode) | S13 EP1 | Time Team (Glendon),"Glendon, Northamptonshire",52.423777,-0.757779,https://www.youtube.com/watch?v=oEs_us18fZU,season/episode,0.5
13,2,Villas out of Molehills,"Villas Out Of Molehills (Full Episode) | S13 EP2 | Time Team (Withington,Gloucestershire)","Withington, Gloucestershire",51.832918,-1.952569,https://www.youtube.com/watch?v=g_8pd9lojng,season/episode,1.0
13,3,Rubble at the Mill,Rubble At The Mill (Full Episode) | S13 EP3 | Time Team (Manchester),"Manchester, Greater Manchester",53.487311,-2.236522,https://www.youtube.com/watch?v=P95goNAvJN4,season/episode,1.0
13,4,The First Tudor Palace?,"The First Tudor Palace (Full Episode) | S13 EP4 | Time Team (Esher, Surrey)","Esher, Surrey",51.37374,-0.376815,https://www.youtube.com/watch?v=7dotgaD4CEI,season/episode,1.0
13,5,The Boat on the Rhine - A Roman Boat in Utrecht,"The Boat On The Rhine (Full Episode) | S13 EP5 | Time Team (Utrecht, Netherlands)","Utrecht, Netherlands",52.080317,5.023004,https://www.youtube.com/watch?v=6fIlOW0TFBk,season/episode,0.547
13,6,Court of the Kentish King,"Court Of The Kentish King (Full Episode) | S13 EP6 | Time Team (Eastry, Kent)","Eastry, Kent",51.256012,1.312794,https://www.youtube.com/watch?v=eboOPS1Isno,season/episode,1.0
13,7,The Monks' Manor,"The Monk’s Manor (Full Episode) | S13 EP7 | Time Team (Brigham, Yorkshire)","Brimham, Harrogate, North Yorkshire",54.062747,-1.662743,https://www.youtube.com/watch?v=BVXNXtIkFls,season/episode,0.375
13,8,Castle in the Round,"Castle in the Round (Full Episode) | S13 EP8 | Time Team (Queenborough, Kent)","Queenborough, Kent",51.416134,0.748727,https://www.youtube.com/watch?v=MKwo8JCJ6qg,season/episode,1.0
13,9,Sussex Ups and Downs,"Sussex Ups and Downs (Full Episode) | S13 EP9 | Time Team (Blackpatch, West Sussex)","Blackpatch, West Sussex",50.874978,-0.443323,https://www.youtube.com/watch?v=p7oZShw7ep8,season/episode,1.0
13,10,Birthplace of the Confessor,"Birthplace of the Confessor (Full Episode) | S13 EP10 | Time Team (Islip, Oxfordshire)","Islip, Oxfordshire",51.82505,-1.232742,https://www.youtube.com/watch?v=vq4TYvviZa4,season/episode,1.0
13,11,Early Bath,"Early Bath (Full Episode) | S13 EP11 | Time Team (Ffrith, Flintshire)","Ffrith, Flintshire",53.090283,-3.069603,https://www.youtube.com/watch?v=9148ynNBbMg,season/episode,1.0
13,12,The Taxman's Tavern - A Roman Mansio,The Taxman's Tavern: Roman Mansion (Full Episode) | S13 EP12 | Time Team (Alfoldean),"Alfoldean, Horsham, West Sussex",51.0852,-0.4046,https://www.youtube.com/watch?v=OubmpRSxV1g,season/episode,0.587
13,13,Scotch Broch,"Scotch Broch (Full Episode) | S13 EP13 | Time Team (Applecross, Scottish Highlands)","Applecross, Scottish Highlands",57.43176,-5.81387,https://www.youtube.com/watch?v=6oAL4lqqeh0,season/episode,1.0
14,1,Finds on the Fairway,"Finds on the Fairway (Full Episode) | S14 EP1 | Time Team (Speke Keeill, Isle of Man)","Mount Murray, Isle of Man",54.140615,-4.552331,https://www.youtube.com/watch?v=kW3UQEDQ0zQ,season/episode,1.0
14,2,There's No Place Like Rome,"There’s No Place Like Rome (Full Episode) | S14 EP2 | Time Team (Blacklands, Somerset)","Blacklands, near Frome, Somerset",51.28541,-2.336253,https://www.youtube.com/watch?v=i_aavjEEynw,season/episode,1.0
14,3,School Diggers Medieval,"School Diggers (Full Episode) | S14 EP3 | Time Team (Hooke Court, Dorset)","Hooke Court, Dorset",50.800806,-2.666475,https://www.youtube.com/watch?v=fUEy0ibHMc0,season/episode,0.437
14,4,The Druids' Last Stand,The Druids' Last Stand (Full Episode) | S14 EP4 | Time Team,"Amlwch, Anglesey",53.405465,-4.395224,https://www.youtube.com/watch?v=ZJ7MzmZ3MGA,season/episode,1.0
14,5,Sharpe's Redoubt,"Sharpe’s Redoubt (Full Episode) | S14 EP5 | Time Team (Sandgate, Kent)","Sandgate, Kent",51.076135,1.130013,https://www.youtube.com/watch?v=4zM7kZiz6HY,season/episode,1.0
14,6,A Port and Stilton,"A Port And Stilton (Full Episode) | S14 EP6 | Time Team (Stilton, Cambridgeshire)","Stilton, Cambridgeshire",52.493863,-0.27964,https://www.youtube.com/watch?v=p8TyT1erodE,season/episode,1.0
14,7,A Tale of Two Villages,"A Tale Of Two Villages (Full Episode) | S14 EP7 | Time Team (Wicken, Northamptonshire)","Wicken, Northamptonshire",52.04817,-0.914954,https://www.youtube.com/watch?v=V4SZfqbznps,season/episode,1.0
