video_url,title,location,lat,lng,season,episode
https://www.youtube.com/watch?v=AHAVcf1kyV0,"Buried Bishops and Belfries (Full Episode) | S16 EP6 | Time Team (Salisbury Cathedral, Wiltshire)","Salisbury Cathedral, Wiltshire",,,16,6
https://www.youtube.com/watch?v=anUGGUPQDKg,Did We Just Find the Real First Roman Road in London? | Time Team - S2 E4,,,,2,4
https://www.youtube.com/watch?v=8KrRsZfju2c,"Cathedral Hill (Full Episode) | S5 EP7 | Time Team (Downpatrick, County Down)","Downpatrick, County Down",,,5,7
https://www.youtube.com/watch?v=dLHMuzUzzDk,"A Copper Bottomed Dig (Full Episode) | S19 EP6 Time Team (Pentrechwyth, Swansea)","Pentrechwyth, Swansea",,,19,6
https://www.youtube.com/watch?v=wSl1UGTFuXg,"Blood, Sweat and Beers (Full Episode) | S16 EP5 | Time Team (Rise Hill, Cumbria)","Rise Hill, Cumbria",,,16,5
https://www.youtube.com/watch?v=PKndTj9yhCQ,"Chapel Of Secrets (Full Episode) | S19 EP5 | Time Team (Beadnell, Northumberland)","Beadnell, Northumberland",,,19,5
https://www.youtube.com/watch?v=Q5wbyvYDdrU,"Toga Town (Full Episode) | S16 EP4 | Time Team (Caerwent, Monmouthshire)","Caerwent, Monmouthshire",,,16,4
https://www.youtube.com/watch?v=38EZEilgADQ,The Missing Cathedral and the Diabetic Prior (Full Episode) | S7 EP7 | Time Team (Coventry),Coventry,,,7,7
https://www.youtube.com/watch?v=U7_LwpGbL-4,"The First King of Racing (Full Episode) | S19 EP4 | Time Team (Newmarket, Suffolk)","Newmarket, Suffolk",,,19,4
https://www.youtube.com/watch?v=elqstC4JnWw,"Heroes' Hill (Full Episode) | S16 EP3 | Time Team (Knockdhu, Co Antrim)","Knockdhu, Co Antrim",,,16,3
https://www.youtube.com/watch?v=kxe3zXFPXo8,"A Muslim Port in Spain (Full Episode) | S7 EP1 | Time Team (Denia, Spain)","Denia, Spain",,,7,1
https://www.youtube.com/watch?v=WN52fqz8TUw,"The Drowned Town (Full Episode) | S19 EP3 | Time Team (Dunwich, Suffolk)","Dunwich, Suffolk",,,19,3
https://www.youtube.com/watch?v=TVg2SJTzOko,"The Wedding Present (Full Episode) | S16 EP2 | Time Team (Scargill Castle, County Durham)","Scargill Castle, County Durham",,,16,2
https://www.youtube.com/watch?v=uDTJDUMX7DU,"Somerset Levels (Full Episode) | S5 EP2 | Time Team (Greylake, Somerset)","Greylake, Somerset",,,5,2
https://www.youtube.com/watch?v=2vdL4rdIObw,"A Village Affair (Full Episode) | S19 EP2 | Time Team (Bitterley, Shropshire)","Bitterley, Shropshire",,,19,2
